DateTime,AddedIPs,RemovedIPs
1526892009,1,0
1526935690,2,0
1526979371,1,0
1527023051,3,0
1527066729,2,0
1527110409,3,0
1527154090,1,0
1527197768,2,0
1527241690,1,0
1527285369,2,0
1527329293,2,0
1527373215,0,0
1527416901,2,0
1527460811,2,0
1527504489,2,0
1527548169,2,0
1527592091,1,0
1527635768,1,0
1527679449,1,0
1527723128,1,0
1527766811,2,0
1527810488,3,0
1527854169,1,0
1527897850,0,0
1527942042,3,0
1527985934,1,0
1528029608,1,0
1528073290,1,0
1528117214,2,0
1528160889,3,0
1528204567,1,0
1528248247,1,0
1528291928,0,0
1528335844,1,0
1528379524,1,0
1528466884,2,0
1528554246,2,0
1528597923,5,0
1528685523,2,0
1528772885,6,0
1528816563,2,0
1528860243,2,0
1528903923,1,0
1528991524,1,0
1529035213,1,0
1529078884,1,0
1529122563,4,0
1529166244,4,0
1529209923,5,0
1529253604,9,0
1529297283,6,0
1529340964,1,0
1529384642,2,0
1529428324,1,0
1529472004,1,0
1529515683,1,0
1529559363,3,0
1529603044,2,0
1529646724,2,0
1529690409,1,0
1529734325,1,0
1529778004,3,0
1529821926,1,0
1529865603,1,0
1529909283,3,0
1530084243,1,0
1530171843,4,0
1530215523,1,0
1530259213,2,0
1530302884,1,0
1530346563,1,0
1530565213,3,0
1530608884,2,0
1530652804,1,0
1530696487,2,0
1530740163,1,0
1530783846,1,0
1530827766,1,0
1530871453,1,0
1531002725,2,0
1531134012,1,0
1531221363,1,0
1531265044,2,0
1531308725,1,0
1531352404,1,0
1531483684,3,0
1531527603,1,0
1531571523,1,0
1531659125,1,0
1531702813,1,0
1531790170,1,0
1531877523,1,0
1531921203,2,0
1531965125,1,0
1532052724,4,0
1532096403,1,0
1532140083,1,0
1532184004,1,0
1532271603,1,0
1532315284,1,0
1532402644,1,0
1532490005,3,0
1532533684,1,0
1532577363,1,0
1532621043,1,0
1532664963,5,0
1532708885,5,0
1532752563,4,0
1532796243,4,0
1532839924,4,0
1532883605,3,0
1532927284,5,0
1532971203,4,0
1533014884,4,0
1533058563,6,0
1533146163,4,0
1533189847,6,0
1533233765,4,0
1533277444,7,0
1533321123,5,0
1533364804,2,0
1533408483,4,0
1533452163,3,0
1533495842,2,0
1533539764,3,0
1533583686,2,0
1533627607,1,0
1533671523,4,0
1533715446,3,0
1533759124,2,0
1533802804,2,0
1533846484,1,0
1533933843,6,0
1533977523,3,0
1534021203,4,0
1534064884,1,0
1534108565,3,0
1534152485,1,0
1534196163,2,0
1534239844,4,0
1534283523,4,0
1534327219,2,0
1534414566,1,0
1534545604,2,0
1534589285,2,0
1534632964,1,0
1534676642,2,0
1534720324,3,0
1534764004,1,0
1534807685,2,0
1534851363,2,0
1534895523,2,0
1534939444,1,0
1534983366,2,0
1535027044,2,0
1535114403,1,0
1535158084,3,0
1563145211,595,578
1563232564,27,0
1563319924,2,0
1563582244,1,0
1563669603,1,0
1563713285,1,0
1563756964,2,0
1563888004,2,0
1564019044,2,0
1564062723,1,0
1564150084,3,0
1564281123,1,0
1564368484,1,0
1564499765,1,0
1564674484,1,0
1564849204,1,0
1564980244,1,0
1565286004,2,0
1565329924,4,0
1565504645,1,0
1565548323,1,0
1565592004,1,0
1565810644,1,0
1565854324,2,0
1565898006,1,0
1566072964,1,0
1566378966,1,0
1566510004,1,0
1566641527,1,0
1566816243,2,0
1566903605,1,0
1567034644,4,0
1567253286,1,0
1567297206,1,0
1567340884,2,0
1567384563,1,0
1567428245,1,0
1567471925,4,0
1567602964,4,0
1567690323,1,0
