DateTime,AddedIPs,RemovedIPs
1587449232,2,2
1587452839,0,2
1587456423,2,1
1587460057,1,1
1587463645,2,1
1587467237,1,0
1587470839,2,1
1587474439,2,2
1587478033,2,2
1587481648,1,2
1587485251,1,2
1587488851,1,2
1587492440,2,1
1587496050,1,1
1587499636,1,2
1587503246,1,0
1587506854,1,1
1587510434,1,1
1587514029,1,1
1587517625,1,1
1587521247,2,1
1587524845,1,1
1587528445,1,2
1587532044,0,3
1587535652,3,2
1587539251,3,2
1587542840,1,1
1587546454,1,0
1587550045,2,1
1587553638,2,1
1587557225,1,3
1587560837,1,1
1587564423,3,2
1587568028,2,1
1587571652,1,2
1587575239,2,2
1587578856,2,2
1587582451,2,1
1587586055,0,2
1587589645,1,2
1587593228,2,2
1587596849,0,1
1587604045,2,1
1587607634,2,1
1587611246,2,1
1587614842,1,1
1587618451,1,2
1587622049,1,1
1587625624,0,1
1587629248,0,1
1587632810,1,1
1587636447,1,1
1587640032,2,1
1587643619,2,0
1587647232,2,1
1587650852,1,2
1587654459,2,2
1587658034,2,2
1587661632,2,2
1587665245,0,1
1587668847,1,2
1587672427,2,2
1587676043,1,1
1587683259,1,1
1587686829,1,1
1587690434,1,1
1587694032,1,0
1587697647,1,1
1587701247,1,1
1587704819,2,1
1587708445,2,2
1587712010,1,1
1587715636,1,2
1587719251,2,1
1587722831,1,1
1587726430,1,2
1587730033,2,1
1587733623,1,2
1587737222,1,1
1587740830,1,1
1587744449,1,1
1587748041,1,1
1587751644,1,1
1587755249,0,1
1587758851,1,1
1587762453,1,1
1587766045,1,1
1587769620,1,0
1587773240,1,1
1587776852,1,1
1587780440,1,1
1587784047,1,1
1587787637,0,1
1587791249,1,1
1587794828,1,1
1587798415,1,1
1587802039,1,0
1587805641,1,1
1587809251,1,1
1587812849,1,2
1587816438,2,1
1587820057,2,1
1587823639,2,1
1587827248,2,2
1587830848,1,2
1587834445,1,2
1587838050,1,1
1587841643,1,1
1587845240,1,1
1587848830,1,1
1587852445,1,1
1587856047,1,1
1587859633,1,1
1587863239,0,1
1587866851,2,2
1587870440,2,1
1587874047,2,1
1587877632,1,1
1587881242,1,2
1587884840,1,1
1587888449,0,1
1587892039,1,1
1587895636,1,1
1587899234,0,1
1587902848,1,0
1587906445,1,2
1587910029,1,1
1587913643,2,0
1587917230,1,1
1587920841,1,1
1587924433,1,2
1587928027,1,1
1587931651,1,1
1587935246,1,1
1587938862,1,1
1587942447,0,1
1587946051,1,1
1587949637,1,0
1587953236,1,1
1587956858,1,0
1587960443,2,1
1587964051,1,2
1587967650,2,1
1587971276,1,1
1587974853,2,2
1587978440,1,2
1587982027,2,1
1587985642,1,2
1587989267,1,1
1587992835,2,2
1587996463,1,1
1588000031,1,2
1588003624,1,0
1588007247,0,1
1588010845,1,2
1588014429,1,1
1588018054,1,1
1588021642,1,0
1588025244,1,1
1588028849,1,1
1588032441,0,1
1588036048,1,1
1588039648,2,1
1588043259,2,1
1588046834,2,0
1588050462,0,2
1588054039,2,2
1588057649,1,2
1588061257,2,1
1588068416,1,1
1588072029,1,1
1588075638,1,1
1588079223,2,0
1588082838,1,1
1588086464,1,2
1588090037,1,2
1588093639,2,2
1588097245,1,1
1588100851,1,1
1588104423,1,2
1588108014,1,1
1588111649,1,1
1588115241,1,1
1588118846,1,1
1588122441,1,1
1588126050,1,1
1588129656,1,1
1588133241,2,2
1588136837,2,1
1588140431,2,0
1588144036,1,2
1588147638,1,2
1588151243,1,2
1588154826,2,2
1588158454,2,1
1588162042,2,0
1588165644,2,2
1588169226,2,2
1588172839,2,2
1588176423,1,2
1588180031,1,2
1588183639,2,2
1588187236,1,1
1588190835,0,1
1588194440,1,1
1588198026,1,1
1588201621,0,1
1588205247,1,0
1588208839,1,1
1588212444,2,1
1588216051,1,1
1588219627,1,1
1588223244,1,2
1588226832,2,2
1588230420,2,0
1588234063,2,2
1588237633,1,1
1588241226,2,2
1588244832,1,2
1588248445,1,1
1588252040,2,2
1588255633,2,1
1588259245,2,1
1588262830,1,2
1588266425,1,1
1588270041,1,2
1588273645,2,1
1588277230,1,1
1588280833,1,2
1588284440,1,1
1588288039,1,1
1588291635,1,1
1588295233,2,1
1588298828,2,1
1588302427,2,1
1588306039,1,2
1588309634,2,2
1588313260,1,2
1588316826,2,2
1588320440,2,2
1588324026,1,1
1588327639,1,1
1588331235,1,2
1588334828,1,1
1588338423,2,1
1588342054,2,2
1588345626,1,1
1588349238,1,2
1588352840,1,1
1588356424,1,1
1588360032,1,1
1588363640,1,1
1588367239,1,1
1588370833,1,1
1588374436,0,2
1588378042,1,1
1588381647,1,1
1588385238,2,1
1588388835,1,0
1588392427,1,1
1588396015,1,1
1588399626,2,2
1588403241,1,2
1588406835,1,0
1588410428,0,1
1588414013,1,1
1588417637,1,1
1588421239,2,1
1588424824,2,1
1588428420,1,2
1588432029,1,1
1588435655,1,1
1588439242,1,1
1588442816,0,1
1588446440,1,1
1588450025,0,1
1588453621,1,1
1588457229,1,0
1588460824,1,2
1588464456,2,0
1588468037,2,1
1588471643,2,1
1588475238,2,2
1588478830,1,2
1588482429,1,2
1588486062,1,1
1588489651,1,1
1588493235,1,1
1588496827,1,1
1588500431,1,1
