DateTime,AddedIPs,RemovedIPs
1587578402,133,0
1587582002,123,0
1587585603,128,0
1587589202,119,0
1587596402,253,0
1587603602,226,3757
1587607202,140,0
1587610802,142,0
1587618002,285,0
1587625202,243,0
1587628802,136,0
1587632402,134,0
1587639602,298,0
1587643202,136,0
1587646802,140,0
1587654002,284,0
1587661201,297,0
1587664802,156,0
1587668402,102,0
1587672001,115,0
1587679202,269,0
1587682801,122,0
1587686402,121,3884
1587690002,193,0
1587697202,281,0
1587700802,161,0
1587708002,261,0
1587711602,150,0
1587718802,294,0
1587723302,196,0
1587726901,157,0
1587730502,172,0
1587734102,202,0
1587737702,177,0
1587741302,118,0
1587744902,133,0
1587748501,118,0
1587752102,113,0
1587755702,157,0
1587759302,153,0
1587766502,205,0
1587773702,178,3350
1587777302,126,0
1587780902,114,0
1587784502,106,0
1587788102,122,0
1587791702,115,0
1587798902,234,0
1587802501,105,0
1587810601,309,0
1587814202,127,0
1587817802,110,0
1587821401,139,0
1587828602,245,0
1587835802,206,0
1587843002,245,0
1587850202,182,0
1587857402,202,0
1587861002,121,3406
1587864601,99,0
1587868202,109,0
1587871802,96,0
1587875402,102,0
1587882601,204,0
1587887102,152,0
1587890701,106,0
1587894302,431,0
1587901502,399,0
1587905102,125,0
1587908702,104,0
1587912302,106,0
1587924002,319,0
1587927602,71,0
1587931202,99,0
1587934802,103,0
1587938402,121,0
1587942002,78,0
1587945602,82,2710
1587949202,113,0
1587956402,209,0
1587963601,232,0
1587967202,125,0
1587970802,161,0
1587975302,187,0
1587978901,126,0
1587982501,141,0
1587986102,161,0
1587989702,143,0
1587993301,142,0
1587996901,175,0
1588000502,119,0
1588004102,194,0
1588008602,162,0
1588015802,232,0
1588019402,111,0
1588023002,118,0
1588026602,87,0
1588030201,96,0
1588033802,104,3008
1588037401,118,0
1588041002,134,0
1588045501,196,0
1588049102,137,0
1588052702,127,0
1588056302,142,1
1588063502,302,0
1588067102,625,0
1588070701,165,0
1588074302,145,0
1588082402,338,0
1588086002,137,0
1588089602,152,0
1588093202,330,0
1588096802,137,0
1588100402,112,0
1588104002,145,0
1588111203,233,0
1588118402,244,3189
1588122002,109,0
1588125602,150,0
1588132802,311,0
1588136402,130,0
1588140902,181,0
1588144502,157,0
1588151702,356,0
1588158902,326,0
1588162501,166,0
1588166101,165,0
1588170602,210,0
1588174201,126,0
1588177802,129,0
1588182302,160,0
1588185902,123,0
1588189501,157,0
1588193101,130,0
1588196702,126,0
1588203901,237,0
1588207502,96,4009
1588215602,362,0
1588219202,146,0
1588222803,125,0
1588226402,170,0
1588230002,159,0
1588233602,148,0
1588237202,220,0
1588240802,207,0
1588244402,134,0
1588248002,150,0
1588255202,439,0
1588262403,310,0
1588269602,266,0
1588273202,141,0
1588281302,238,0
1588284901,123,0
1588292102,196,3444
1588299302,266,0
1588302902,129,0
1588306502,125,0
1588311001,168,0
1588314602,138,0
1588318202,133,0
1588321801,136,0
1588325402,147,0
1588329001,147,0
1588332602,125,0
1588336201,116,0
1588339802,129,0
1588343401,166,0
1588347001,136,0
1588351502,146,0
1588355101,147,0
1588358702,118,0
1588365902,234,0
1588369502,103,0
1588373102,83,0
1588376702,77,0
1588380301,89,3650
1588383902,124,0
1588392001,340,0
1588395602,124,0
1588399202,131,0
1588402802,116,0
1588406402,139,0
1588410002,137,0
1588413601,153,0
1588420802,251,0
1588424401,146,0
1588431602,263,0
1588435202,91,2
1588438802,130,0
1588442402,100,0
1588446002,122,0
1588450501,114,0
1588454102,82,0
1588461302,207,0
1588468501,209,3096
1588472101,124,0
1588475701,166,0
1588479302,125,1
1588486502,236,0
1588491001,192,0
1588498202,345,0
