DateTime,Entries,UniqueIPs
1587639875,1763,1763
1587641664,1788,1788
1587643129,1776,1776
1587645263,1806,1806
1587648001,1825,1825
1587650441,1829,1829
1587651860,1824,1824
1587652462,1832,1832
1587653649,1817,1817
1587655280,1818,1818
1587656062,1832,1832
1587657860,1838,1838
1587659124,1847,1847
1587660621,1837,1837
1587662505,1842,1842
1587663668,1834,1834
1587665158,1811,1811
1587666860,1820,1820
1587668395,1817,1817
1587669761,1821,1821
1587670460,1829,1829
1587671857,1830,1830
1587674062,1832,1832
1587676127,1802,1802
1587677662,1797,1797
1587679762,1800,1800
1587681265,1833,1833
1587684199,1821,1821
1587685823,1837,1837
1587688460,1831,1831
1587689970,1826,1826
1587691435,1824,1824
1587692060,1817,1817
1587693375,1820,1820
1587694762,1823,1823
1587696624,1827,1827
1587698672,1826,1826
1587700223,1809,1809
1587702323,1810,1810
1587703823,1800,1800
1587706465,1815,1815
1587710065,1857,1857
1587711339,1838,1838
1587712850,1836,1836
1587714000,1833,1833
1587715788,1821,1821
1587720323,1843,1843
1587721528,1835,1835
1587724464,1846,1846
1587726958,1828,1828
1587728054,1828,1828
1587729259,1823,1823
1587731124,1838,1838
1587731663,1841,1841
1587733355,1815,1815
1587735265,1809,1809
1587738864,1810,1810
1587741919,1806,1806
1587743422,1810,1810
1587745345,1822,1822
1587746060,1825,1825
1587747636,1804,1804
1587749117,1799,1799
1587749671,1803,1803
1587751645,1801,1801
1587753260,1797,1797
1587754421,1797,1797
1587756261,1800,1800
1587757827,1785,1785
1587760463,1792,1792
1587761841,1815,1815
1587763525,1820,1820
1587767034,1798,1798
1587767668,1797,1797
1587771258,1759,1759
1587772637,1738,1738
1587774324,1741,1741
1587774862,1731,1731
1587776839,1749,1749
1587778464,1788,1788
1587779914,1790,1790
1587781526,1784,1784
1587782062,1778,1778
1587785126,1775,1775
1587788724,1741,1741
1587790226,1782,1782
1587792862,1775,1775
1587796460,1800,1800
1587797729,1786,1786
1587799524,1782,1782
1587800059,1778,1778
1587802898,1772,1772
1587804621,1742,1742
1587807263,1728,1728
1587809618,1702,1702
1587811651,1700,1700
1587813921,1696,1696
1587815421,1674,1674
1587817278,1659,1659
1587818063,1654,1654
1587819314,1648,1648
1587821123,1650,1650
1587822578,1655,1655
1587824573,1660,1660
1587825259,1660,1660
1587828863,1657,1657
1587830458,1670,1670
1587831920,1674,1674
1587833419,1669,1669
1587834917,1663,1663
1587836064,1675,1675
1587838054,1677,1677
1587839398,1655,1655
1587840624,1664,1664
1587842501,1660,1660
1587843780,1658,1658
1587846059,1673,1673
1587847441,1685,1685
1587849302,1686,1686
1587850529,1673,1673
1587852218,1661,1661
1587853524,1661,1661
1587854060,1668,1668
1587857662,1637,1637
1587860052,1652,1652
1587862221,1651,1651
1587864322,1670,1670
1587867361,1668,1668
1587868465,1678,1678
1587869876,1663,1663
1587871523,1665,1665
1587872981,1661,1661
1587875663,1665,1665
1587876987,1653,1653
1587878634,1629,1629
1587880220,1624,1624
1587881626,1632,1632
1587882864,1645,1645
1587884334,1648,1648
1587885926,1638,1638
1587886463,1644,1644
1587889035,1638,1638
1587890062,1665,1665
1587891243,1657,1657
1587892694,1661,1661
1587893663,1669,1669
1587895060,1682,1682
1587896420,1677,1677
1587900320,1685,1685
1587901618,1689,1689
1587904462,1771,1771
1587905699,1769,1769
1587908063,1749,1749
1587909658,1743,1743
1587911663,1749,1749
1587912800,1741,1741
1587914129,1732,1732
1587915495,1732,1732
1587916630,1734,1734
1587918325,1735,1735
1587918860,1731,1731
1587920640,1732,1732
1587922461,1764,1764
1587923783,1768,1768
1587925520,1765,1765
1587926063,1777,1777
1587928523,1795,1795
1587929660,1828,1828
1587931117,1820,1820
1587932318,1821,1821
1587933896,1801,1801
1587935683,1803,1803
1587936864,1811,1811
1587937999,1803,1803
1587940465,1805,1805
1587942260,1789,1789
1587944064,1823,1823
1587945825,1829,1829
1587947120,1831,1831
1587948624,1777,1777
1587950334,1781,1781
1587951592,1803,1803
1587952976,1823,1823
1587954322,1828,1828
1587955824,1846,1846
1587957925,1856,1856
1587961523,1849,1849
1587962629,1848,1848
1587965123,1877,1877
1587965665,1871,1871
1587968534,1871,1871
1587970175,1861,1861
1587971395,1855,1855
1587972861,1886,1886
1587975122,1875,1875
1587976462,1899,1899
1587978098,1879,1879
1587979471,1883,1883
1587980804,1886,1886
1587983313,1894,1894
1587983667,1894,1894
1587985536,1894,1894
1587986725,1893,1893
1587988009,1900,1900
1587989177,1905,1905
1587990864,1908,1908
1587992733,1886,1886
1587993922,1880,1880
1587995100,1879,1879
1587996681,1874,1874
1587998129,1861,1861
1587999472,1839,1839
1588001661,1834,1834
1588004375,1850,1850
1588005262,1841,1841
1588007051,1837,1837
1588008864,1840,1840
1588011625,1834,1834
1588013264,1832,1832
1588015041,1829,1829
1588016060,1813,1813
1588019665,1871,1871
1588023262,1871,1871
1588025829,1897,1897
1588027036,1904,1904
1588029099,1877,1877
1588030937,1861,1861
1588033069,1866,1866
1588037661,1876,1876
1588038914,1865,1865
1588040724,1861,1861
1588041266,1870,1870
1588042412,1856,1856
1588043507,1857,1857
1588044863,1860,1860
1588047545,1848,1848
1588048465,1843,1843
1588049883,1842,1842
1588051168,1841,1841
1588052068,1837,1837
1588054365,1825,1825
1588055661,1840,1840
1588056993,1828,1828
1588059262,1796,1796
