DateTime,Entries,UniqueIPs
1587516977,5005,5005
1587518951,4902,4902
1587520968,4857,4857
1587523219,4820,4820
1587525140,4775,4775
1587527084,4722,4722
1587528971,4753,4753
1587530891,4728,4728
1587533018,4727,4727
1587535387,4724,4724
1587537263,4763,4763
1587539395,4768,4768
1587541223,4649,4649
1587543153,4654,4654
1587545092,4707,4707
1587546979,4674,4674
1587548924,4600,4600
1587550824,4588,4588
1587552743,4588,4588
1587554674,4619,4619
1587556583,4644,4644
1587558571,4642,4642
1587560495,4667,4667
1587562399,4709,4709
1587564502,4746,4746
1587566412,4723,4723
1587568343,4735,4735
1587570265,4673,4673
1587572189,4699,4699
1587574105,4719,4719
1587576051,4732,4732
1587577949,4651,4651
1587579868,4627,4627
1587581772,4557,4557
1587583692,4321,4321
1587585834,4160,4160
1587587789,4158,4158
1587589721,4169,4169
1587591614,4174,4174
1587593544,4169,4169
1587595458,4196,4196
1587597370,4191,4191
1587599302,4158,4158
1587601233,4184,4184
1587603132,4110,4110
1587605064,4091,4091
1587606986,4111,4111
1587608927,4147,4147
1587610979,4130,4130
1587612987,4172,4172
1587614913,4174,4174
1587616819,4153,4153
1587618742,4166,4166
1587620662,4058,4058
1587622569,4064,4064
1587624516,4059,4059
1587626449,4075,4075
1587628378,4070,4070
1587630249,4090,4090
1587632182,4136,4136
1587634137,4214,4214
1587636096,4235,4235
1587637951,4274,4274
1587639922,4311,4311
1587641789,4391,4391
1587643698,4442,4442
1587645614,4447,4447
1587647460,4497,4497
1587649459,4562,4562
1587651417,4747,4747
1587653293,4796,4796
1587655226,4809,4809
1587657150,4834,4834
1587659051,4866,4866
1587660980,4834,4834
1587662912,4859,4859
1587665798,4904,4904
1587667785,4969,4969
1587669616,4990,4990
1587671549,5128,5128
1587673577,5405,5405
1587675380,5513,5513
1587677292,5551,5551
1587679404,5599,5599
1587681372,5597,5597
1587683303,5593,5593
1587685214,5592,5592
1587687136,5577,5577
1587689064,5611,5611
1587690970,5633,5633
1587692902,5646,5646
1587694823,5655,5655
1587696747,5645,5645
1587698651,5609,5609
1587700584,5613,5613
1587702773,5627,5627
1587704689,5648,5648
1587706583,5657,5657
1587708503,5644,5644
1587710416,5639,5639
1587712352,5591,5591
1587714252,5619,5619
1587716170,5612,5612
1587718101,5594,5594
1587720038,5486,5486
1587721998,5488,5488
1587723869,5475,5475
1587725796,5420,5420
1587727694,5369,5369
1587729779,5281,5281
1587731782,5268,5268
1587733730,5230,5230
1587735611,5180,5180
1587737543,4948,4948
1587739464,4865,4865
1587741370,4824,4824
1587743298,4839,4839
1587745485,4761,4761
1587747380,4771,4771
1587749305,4768,4768
1587751276,4773,4773
1587753154,4752,4752
1587755089,4655,4655
1587756994,4643,4643
1587758902,4454,4454
1587760841,4180,4180
1587762747,4161,4161
1587764681,4348,4348
1587766602,4300,4300
1587768743,4336,4336
1587770671,4341,4341
1587772599,4406,4406
1587774502,4455,4455
1587776576,4427,4427
1587778580,4450,4450
1587780502,4488,4488
1587782414,4530,4530
1587784339,4565,4565
1587786261,4602,4602
1587788423,4617,4617
1587790331,4655,4655
1587792253,4647,4647
1587794181,4672,4672
1587796091,4652,4652
1587798121,4646,4646
1587799961,4658,4658
1587801867,4642,4642
1587803774,4608,4608
1587805747,4571,4571
1587807640,4541,4541
1587809541,4535,4535
1587811461,4625,4625
1587813420,4662,4662
1587815318,4643,4643
1587817212,4671,4671
1587819137,4652,4652
1587821064,4656,4656
1587822973,4689,4689
1587824908,4662,4662
1587826990,4669,4669
1587828989,4712,4712
1587830905,4714,4714
1587832815,4764,4764
1587834750,4773,4773
1587836679,4801,4801
1587838570,4769,4769
1587840500,4755,4755
1587842411,4754,4754
1587844336,4695,4695
1587846261,4650,4650
1587848170,4627,4627
1587850092,4530,4530
1587853211,4443,4443
1587855148,4426,4426
1587857061,4444,4444
1587858968,4416,4416
1587860889,4386,4386
1587863774,4444,4444
1587865701,4447,4447
1587867621,4429,4429
1587869601,4374,4374
1587871491,4355,4355
1587873371,4336,4336
1587875295,4330,4330
1587877324,4321,4321
1587879148,4293,4293
1587880969,4265,4265
1587882985,4283,4283
1587884913,4246,4246
1587886854,4260,4260
1587888748,4309,4309
1587890664,4371,4371
1587892570,4427,4427
1587894513,4487,4487
1587896418,4457,4457
1587898344,4383,4383
1587900268,4417,4417
1587902176,4416,4416
1587904340,4431,4431
1587906393,4475,4475
1587908480,4474,4474
1587910432,4490,4490
1587912264,4532,4532
1587914174,4534,4534
1587916116,4528,4528
1587918031,4518,4518
1587919953,4471,4471
1587921831,4418,4418
1587923783,4404,4404
1587925695,4457,4457
1587928584,4455,4455
1587930498,4454,4454
1587932422,4432,4432
1587934374,4417,4417
1587936252,4413,4413
1587938189,4402,4402
1587940102,4374,4374
1587942984,4354,4354
1587944893,4358,4358
1587946825,4339,4339
1587948734,4274,4274
1587950659,4212,4212
1587952587,4147,4147
1587954511,4097,4097
1587957376,4064,4064
1587959301,4042,4042
1587961212,3994,3994
1587963159,3949,3949
1587967392,3869,3869
1587969375,3846,3846
1587971306,3817,3817
1587973226,3769,3769
1587975157,3705,3705
1587977070,3672,3672
1587978982,3621,3621
1587980900,3615,3615
1587982836,3651,3651
1587984752,3677,3677
1587986662,3761,3761
1587988600,3849,3849
1587990497,3864,3864
1587993378,3881,3881
1587995297,3976,3976
1587997229,4043,4043
1587999143,4172,4172
1588001074,4253,4253
1588002993,4337,4337
1588004920,4377,4377
1588006994,4448,4448
1588008988,4619,4619
1588010928,4709,4709
1588012828,4717,4717
1588014742,4791,4791
1588016652,4878,4878
1588018580,4993,4993
1588020501,5021,5021
1588022410,5053,5053
1588024331,5046,5046
1588026268,5091,5091
1588028180,5170,5170
1588030234,5207,5207
1588032141,5404,5404
1588033943,5566,5566
1588036159,5678,5678
1588038073,5864,5864
1588039952,5956,5956
1588041856,5996,5996
1588044014,6022,6022
1588045962,6089,6089
1588047896,6163,6163
1588049771,6204,6204
1588051744,6407,6407
1588054818,6529,6529
1588056741,6581,6581
1588058671,6603,6603
1588060612,6675,6675
1588062498,6721,6721
1588065392,6700,6700
1588067311,6670,6670
1588069219,6665,6665
1588071140,6650,6650
1588073096,6585,6585
1588075068,6483,6483
1588076903,6425,6425
1588079891,6341,6341
1588081707,6218,6218
1588083541,6135,6135
1588085548,5997,5997
1588087725,6086,6086
1588089749,6158,6158
1588091561,6247,6247
1588093484,6204,6204
1588095376,6052,6052
1588097308,5985,5985
1588099219,5963,5963
1588101141,5899,5899
1588103084,5856,5856
1588104971,5882,5882
1588106893,5880,5880
1588108824,5886,5886
1588110740,5931,5931
1588112652,5929,5929
1588114593,5943,5943
1588116490,5928,5928
1588118493,5707,5707
1588120335,5633,5633
