DateTime,AddedIPs,RemovedIPs
1587738832,1,8
1587744301,1,0
1587744979,67,70
1587748336,1,0
1587749742,3,7
1587750482,162,168
1587754322,200,240
1587755094,0,9
1587758162,240,200
1587758692,1,0
1587760616,2,5
1587762002,200,240
1587762292,1,0
1587765892,2,0
1587770931,4,4
1587773764,156,164
1587781443,851,807
1587781811,3,7
1587787492,1,0
1587789123,700,686
1587792962,739,723
1587794693,1,0
1587799255,0,5
1587801983,4,4
1587804482,398,408
1587813201,76,30
1587816010,488,513
1587816302,3,0
1587821411,764,0
1587823922,2,2
1587823990,3,5
1587830784,1,0
1587831602,152,171
1587834645,1,7
1587835443,100,108
1587841494,0,7
1587845629,7,5
1587846963,334,303
1587849987,0,250
1587852294,1,0
1587855893,1,0
1587856251,7,0
1587858483,59,62
1587859577,1,0
1587862322,62,59
1587866164,841,849
1587866693,1,0
1587866926,7,2
1587877923,658,636
1587879382,1,0
1587881093,1,0
1587881763,219,224
1587884710,3,0
1587885603,224,226
1587888063,2,7
1587889443,219,224
1587891897,1,0
1587893523,298,310
1587895524,2,0
1587898728,4,4
1587898820,70,40
1587902700,1,0
1587905043,272,268
1587906518,1,0
1587909710,3,6
1587912963,188,196
1587913499,1,0
1587916803,196,188
1587920643,196,201
1587921145,80,81
1587924482,105,112
1587925873,1,0
1587928323,112,105
1587929411,0,265
1587931240,8,9
1587931504,1,0
1587932163,150,157
1587938702,1,0
1587942202,6,11
1587943683,90,98
1587945900,1,0
1587947522,36,39
1587949503,4,0
1587951362,870,824
1587953264,2,2
1587955202,775,765
1587956703,2,0
1587964172,0,3
1587966723,627,638
1587971114,1,0
1587972073,0,7
1587974699,1,1
1587978241,360,339
1587985526,2,2
1587986402,172,149
1587994083,236,256
1587994340,85,85
1587995911,4,5
1587996306,4,0
1587997811,253,0
1588005765,1,7
1588009442,145,157
1588010418,0,1
1588015281,0,11
1588016875,4,5
1588025109,1,0
1588027795,1,2
1588028643,106,111
1588038668,3,2
1588040403,838,849
1588049642,1,3
1588052174,0,3
1588053975,1,0
1588055763,582,555
1588060144,2,3
1588063442,387,395
1588064702,1,0
1588071066,2,1
1588073477,59,28
1588078803,280,285
1588079116,6,0
1588082169,49,48
1588082883,285,280
1588086723,397,396
1588089614,255,0
1588092652,2,2
1588093507,0,10
1588098243,141,143
1588098939,0,256
1588100707,1,0
1588101737,3,5
1588109762,154,155
1588111504,1,0
1588112207,0,2
1588113404,0,255
1588115107,1,0
1588118764,1,0
1588121282,848,856
1588122901,2,3
1588127756,256,0
1588128962,768,813
1588133196,3,0
1588136707,1,0
1588140737,1,0
1588144316,1,2
1588147573,2,0
1588148162,523,461
1588151106,2,0
1588154755,1,0
1588155610,1,1
1588158345,65,31
1588159273,766,0
1588159685,838,834
1588161957,6934,6903
1588163523,282,291
1588165505,1,0
1588166408,5,4
1588177135,7,6
1588177688,44,46
1588179969,0,9
1588181761,255,256
1588182963,308,317
1588183572,6094,6023
1588186803,97,102
1588188134,1,1
1588190712,1,0
1588194482,4348,4341
1588198324,105,118
1588198784,2,2
1588202162,118,104
1588203382,255,0
1588205041,4605,4595
1588206003,104,118
1588208700,1,0
1588209842,111,108
1588213682,877,829
1588215841,4950,5109
1588218854,1,0
1588223110,0,2
1588225203,715,712
1588226641,2049,2007
1588229064,714,715
1588229360,3,0
1588232882,711,711
1588233900,1,0
1588236722,455,440
1588237503,1685,1642
1588240074,1,3
1588245078,50,53
1588248482,2558,2526
1588251612,3,2
1588252323,183,183
1588255501,2,0
1588259102,3236,3223
1588260243,178,179
1588263386,3,0
1588265532,30,36
1588266685,0,8
1588269841,3760,3740
1588271762,100,108
1588272113,7,5
1588272735,1,1
1588280641,4240,4241
1588282934,1,8
1588287362,119,117
1588287901,2,0
1588291441,4519,4518
1588293986,3,2
1588295283,91,89
1588299122,888,874
1588302241,4962,5087
1588303671,0,7
1588313041,2103,1907
1588314482,675,664
1588314697,1,1
1588322402,416,427
1588324091,1540,1525
1588325456,1,3
1588330820,43,97
1588333291,0,255
1588334641,1971,1946
1588334796,3,0
1588336499,1,6
1588340710,254,256
1588341610,326,335
1588345443,152,150
1588345588,2805,2814
1588347475,1,2
1588352709,0,2
1588353367,60,58
1588356241,3437,3416
1588358108,2,3
1588360329,1,0
1588363508,1,0
1588364643,140,145
1588367041,3886,3874
1588368483,118,119
1588368878,1,5
1588374303,1,0
1588377841,4250,4243
1588377903,1,0
1588380003,111,126
1588388641,4732,4815
1588390349,3,2
1588395363,834,855
1588397294,0,3
1588399870,1886,1863
1588400126,2,2
1588403104,4,0
1588410303,1617,1593
1588410963,578,528
1588411941,2,2
1588414803,303,311
1588417221,40,106
1588417535,1,0
1588419481,1,3
1588421124,1952,1919
1588425310,0,506
1588426579,47,45
1588427111,254,0
1588428305,1,0
1588430163,230,232
1588430333,5,4
1588431903,2826,2829
1588439111,0,17
1588441400,5,258
1588441683,147,152
1588442641,3405,3383
1588445523,46,48
1588449362,132,125
1588452351,0,4
1588453501,3902,3910
1588460701,2,0
1588463235,0,4
1588464302,4319,4310
1588468563,161,869
1588473733,4,1
1588475041,4834,4903
1588480083,838,136
1588483923,136,838
1588484477,1,2
1588485841,1861,1843
1588487762,836,135
1588489512,1,0
1588491603,480,476
1588495450,3,3
1588496704,1691,1664
